Type,heptacosane,13-methylheptacosane,"13,15-dimethylheptacosane",3-methylheptacosane,"3,9-dimethylheptacosane"
Forager,5.7119999,8.3470001,3.22,9.2810001,1.201
Forager,5.0040002,9.8050003,4.9829998,9.7370005,8.059
Forager,9.6079998,3.267,7.283,9.118,6.3629999
Forager,2.467,5.5619998,4.0900002,3.6700001,2.8789999
Forager,6.401,1.149,8.2279997,1.455,4.6149998
Forager,4.1339998,2.049,8.2559996,2.448,7.2410002
Reserver,1.0470001,7.7680001,1.232,9.566,9.6569996
Reserver,1.008,5.6890001,2.309,9.151,5.5040002
Reserver,8.184,2.3199999,1.038,9.559,3.5550001
Reserver,5.382,1.2539999,7.743,9.7869997,3.9549999
Reserver,2.2609999,4.3200002,4.9959998,7.0560002,9.3400002
Reserver,3.579,2.974,1.1849999,7.1900001,6.9580002
Reserver,4.085,1.623,3.737,7.4320002,5.9650002
Reserver,2.1459999,4.2470002,1.1900001,4.7189999,9.5410004
Reserver,1.177,1.362,1.915,8.7309999,6.7129998
Reserver,1.1569999,4.54,4.6729999,7.2680001,6.75
Reserver,2.7490001,1.998,1.341,5.1900001,8.1520004
Reserver,8.9580002,2.086,2.4519999,9.2449999,5.9349999
Reserver,2.0929999,1.533,9.7080002,8.0970001,7.79
Reserver,3.3299999,3.77,1.455,9.2119999,8.5419998
Reserver,2.654,3.293,7.0489998,9.8789997,3.0009999
Reserver,3.7260001,2.921,4.5159998,9.9680004,4.0819998
Reserver,3.092,1.436,9.4420004,9.2860003,4.1199999
Reserver,4.3779998,1.066,2.362,7.3969998,5.2319999
Reserver,8.0089998,2.085,1.943,9.1969995,4.1669998
Reserver,1.101,3.529,1.6569999,5.4190001,4.0609999
Reserver,7.158,1.457,1.034,9.1759996,9.7250004
Reserver,1.317,1.7,2.5,9.3719997,5.8070002
Reserver,2.056,4.4749999,1.524,6.9130001,7.8569999
Reserver,3.0250001,1.3099999,6.2639999,6.598,5.4289999
Reserver,1.737,8.1029997,2.569,9.7550001,9.5209999
Reserver,3.5009999,2.109,3.2460001,9.0579996,3.312
Reserver,2.221,4.6989999,3.316,7.243,6.0170002
Reserver,2.279,1.586,9.5089998,9.8850002,2.9460001
Reserver,2.6229999,1.391,4.6900001,8.0459995,8.8870001
Reserver,5.1279998,2.9690001,1.016,9.7460003,8.0410004
Reserver,2.1530001,2.8510001,8.1239996,9.8839998,5.0440001
Reserver,4.9510002,3.286,4.6209998,9.5740004,3.964
Reserver,3.533,1.038,9.3789997,8.2349997,5.7379999
Reserver,1.274,2.4489999,3.598,7.6279998,2.6489999
Reserver,2.007,3.2980001,2.3010001,9.7869997,1.103
Reserver,5.0830002,1.1619999,3.3900001,8.3509998,9.6599998
Reserver,2.302,2.2360001,1.904,8.8190002,3.9100001
Reserver,2.2,1.1339999,2.263,3.299,7.7220001
Reserver,1.737,1.964,2.8299999,5.4200001,8.4580002
Reserver,1.202,4.8330002,2.7479999,9.6689997,6.6009998
Reserver,3.4779999,3.2820001,1.898,5.178,8.7700005
Reserver,6.2940001,1.508,4.888,9.868,1.885
Reserver,1.3940001,1.421,2.6570001,6.3559999,6.3140001
Reserver,2.2969999,1.351,3.5780001,8.6459999,4.493
Reserver,4.1300001,2.8380001,8.2049999,9.6520004,6.0819998
Reserver,5.2270002,3.2460001,1.928,7.25,4.9559999
Reserver,4.4580002,1.216,6.7490001,8.1300001,5.664
Reserver,4.3990002,2.1670001,2.0669999,5.2270002,9.7349997
Reserver,4.763,1.766,5.1459999,9.342,9.9119997
Reserver,1.562,3.5380001,3.987,6.7579999,4.4920001
