sample,day,plenum_1,plenum_2,plenum_3,deepest ,deep_2  ,deep_3  ,midlevel,shallow ,surface ,coldcap 
93,1,588,566,1190,1200,1200,846,401,473,1180,910
94,1,584,555,1190,1210,1200,838,401,468,1190,913
95,1,576,546,1190,1210,1200,835,394,461,1180,915
96,1,574,535,1190,1210,1200,882,398,457,1170,916
97,1,559,537,1190,1190,1200,888,409,455,1150,915
98,1,551,549,1200,1200,1200,939,422,448,1170,904
99,1,545,541,1190,1200,1200,944,431,437,1170,892
100,1,556,535,1190,1200,1190,996,421,439,1170,885
101,1,568,514,1190,1200,1070,1020,409,1210,1170,791
102,1,572,505,1190,1200,1060,1010,408,1200,1170,837
103,1,565,496,1190,1200,1050,1020,401,1200,1180,864
104,1,564,497,1190,1200,1040,1030,396,1200,1170,879
105,1,556,492,1190,1200,1050,1010,391,1210,1160,847
106,1,558,493,1190,1200,1060,1040,389,1210,1180,876
107,1,558,492,1200,1200,1040,1080,388,1200,1180,943
108,1,557,499,1200,1200,1060,1090,390,1210,1180,1020
109,1,560,504,1190,1210,1040,1080,368,1200,1180,979
110,1,557,504,1200,1200,1020,1080,364,1200,1180,917
111,1,564,504,1190,1190,1020,1100,380,1210,1170,1000
112,1,557,504,1200,1200,1020,1080,381,1210,1180,1030
113,1,555,503,1200,1200,1010,1090,380,1210,1170,1080
114,1,554,503,1200,1190,1020,1070,383,1200,1160,1060
115,1,552,500,1200,1190,1070,1090,384,1200,1160,1060
116,1,547,502,1200,1200,1020,1110,389,1200,1150,989
117,1,549,504,1200,1190,969,1050,396,1200,1160,740
118,1,540,499,1190,1190,974,827,401,1200,1160,645
119,1,538,502,1200,1190,977,743,405,1200,1150,731
120,1,537,503,1200,1200,986,705,411,1200,1160,890
121,1,542,502,1200,1200,995,813,416,1200,1170,970
122,1,537,494,1200,1190,993,867,405,1200,1150,858
123,1,539,496,1200,1190,1010,918,400,1200,1170,685
124,1,557,498,1200,1190,1020,937,403,1200,1180,783
125,1,554,498,1200,1180,1040,965,398,1210,1180,857
126,1,542,493,1190,1180,1050,942,394,1200,1180,816
127,1,541,491,1190,1190,1060,983,396,1200,1180,861
128,1,534,497,1200,1190,1080,1030,400,1200,1180,861
129,1,535,501,1200,1190,1070,1040,415,1210,1180,936
130,1,527,500,1200,1200,1070,1020,445,1210,1200,901
131,1,526,492,1200,1200,1100,986,455,1210,1200,745
132,1,527,494,1200,1200,1120,943,462,1210,1210,838
133,1,526,494,1200,1200,1130,973,459,1210,1220,984
134,1,531,491,1200,1190,1120,976,459,1210,1190,966
135,1,531,498,1200,1200,1140,1030,464,1210,1160,1000
136,1,520,493,1210,1200,1150,1070,467,1200,1180,1020
137,1,517,498,1210,1180,1150,1070,461,1210,1180,1050
138,1,514,502,1210,1190,1150,1030,461,1200,1190,1030
139,1,506,506,1210,1190,1160,1050,475,1200,1180,995
140,1,501,512,1210,1200,1170,1070,504,1200,1200,842
141,1,503,521,1210,1200,1190,1080,550,1190,1210,692
142,1,496,535,1210,1200,1180,1110,569,1190,1220,680
143,1,495,576,1200,1200,1190,1100,573,1190,1230,727
144,1,495,627,1200,1200,1200,1080,584,1190,1230,752
145,1,483,660,1200,1200,1200,1090,684,1200,1240,754
146,1,482,684,1200,1200,1180,1100,785,1200,1230,774
147,1,481,709,1200,1200,1180,1100,825,1200,1210,794
148,1,485,735,1200,1190,1200,859,826,1200,1180,772
149,1,490,761,1200,1200,1160,828,827,1200,1160,796
150,1,486,775,1200,1190,1160,827,825,1200,1140,846
151,1,481,787,1200,1180,1130,860,822,1200,1110,835
152,1,480,804,1210,1180,1130,898,820,1200,1090,831
153,1,475,816,1190,1190,1120,869,818,1200,1080,895
154,1,479,824,1190,1200,1120,931,815,1200,1060,872
155,1,479,782,1200,1200,1110,881,811,1200,1060,880
156,1,479,758,1200,1200,1150,880,808,1200,1040,992
157,1,474,740,1200,1200,1140,912,804,1200,1030,1030
158,1,476,728,1200,1210,1150,921,801,1200,1010,1000
159,1,477,714,1200,1200,1130,980,797,1190,1010,858
160,1,488,714,1200,1190,1150,1010,798,1190,1010,824
161,1,498,698,1200,1180,1140,1050,797,1200,1020,734
162,1,500,692,1200,1190,1130,1070,765,1200,1030,727
163,1,500,696,1200,1180,1150,1100,737,1200,1040,769
164,1,494,685,1200,1170,1160,1050,713,1190,1040,794
165,1,487,680,1200,1190,1170,1120,667,1190,1050,896
166,1,490,669,1210,1190,1160,1110,635,1190,1060,824
167,1,487,656,1210,1180,1150,1090,632,1200,1070,876
168,1,488,652,1210,1180,1150,1110,623,1190,1070,851
169,1,485,645,1210,1180,1170,1120,599,1200,1060,909
170,1,485,636,1210,1180,1160,1120,593,1200,1060,946
171,1,474,630,1200,1180,1180,883,584,1200,1050,921
172,1,471,626,1200,1190,1170,826,572,1200,1040,1030
173,1,471,623,1200,1190,1180,813,560,1190,1040,970
174,1,466,622,1200,1180,1170,852,554,1180,1040,960
175,1,469,621,1200,1190,1150,852,553,1180,1030,994
176,1,471,619,1200,1190,1160,851,555,1180,1030,1000
177,1,469,614,1200,1190,1150,847,558,1180,1020,1020
178,1,470,611,1200,1180,1140,820,552,1190,1020,967
179,1,469,607,1200,1190,1150,938,544,1190,1020,1020
180,1,470,607,1210,1180,1140,1010,536,1190,1020,738
181,1,457,600,1210,1180,1150,1030,532,1190,1010,590
182,1,455,597,1210,1180,1150,986,530,1190,1010,658
183,1,466,601,1210,1180,1160,935,527,1190,1020,630
184,1,481,595,1210,1190,1160,991,519,1190,1020,613
185,1,491,591,1210,1190,1180,1060,510,1180,1020,704
186,1,497,590,1200,1190,1190,932,504,1180,1020,712
187,1,503,587,1200,1190,1180,1020,501,1180,1030,759
188,1,498,593,1200,1190,1180,986,498,1190,1030,893
189,1,545,588,1210,1200,1190,1020,496,1190,1030,911
190,1,557,588,1200,1200,1190,987,492,1190,1030,766
191,1,536,581,1210,1200,1160,1060,488,1200,1020,868
192,1,525,577,1210,1190,1180,1070,483,1200,1020,998
193,1,528,576,1210,1190,1170,1060,478,1190,1020,1050
194,1,510,574,1210,1180,1190,1090,471,1190,1020,1030
195,1,509,566,1210,1180,1190,1060,465,1190,1020,986
196,1,518,563,1210,1180,1160,1080,461,1190,1020,822
197,1,508,555,1200,1180,1180,897,460,1190,1010,775
198,1,528,550,1200,1180,1180,785,451,1180,1010,634
199,1,562,548,1200,1190,1180,800,438,1180,1010,626
200,1,637,552,1210,1200,1150,807,442,1180,1010,615
201,1,671,559,1210,1200,1160,517,530,1190,1190,571
202,1,636,561,1210,1200,1160,535,519,1190,1190,572
203,1,604,556,1210,1200,1130,475,510,1180,1190,617
204,1,607,552,1200,1200,1160,478,504,1180,1190,633
205,1,603,549,1190,1200,1150,460,497,1180,1180,669
206,1,587,549,1180,1200,1160,388,498,1180,1180,833
207,1,554,549,1190,1200,1150,386,488,1180,1180,995
208,1,550,548,1190,1200,1170,413,484,1180,1180,1020
209,1,559,550,1190,1200,1170,447,476,1180,1190,880
210,1,554,549,1190,1200,1190,471,477,1180,1170,954
211,1,552,551,1190,1200,1170,490,479,1180,1180,988
212,1,550,545,1190,1190,1160,506,471,1180,1180,1030
213,1,549,543,1190,1190,1170,518,472,1180,1190,1030
214,1,527,542,1180,1190,1150,526,472,1210,1200,981
215,1,534,540,1200,1200,1170,529,465,1210,1190,805
216,1,553,539,1200,1200,1170,532,473,1200,1190,822
217,1,545,539,1190,1190,1160,522,488,1200,1190,574
218,1,551,534,1200,1190,1170,483,493,1200,1190,621
219,1,549,530,1200,1190,1150,462,500,1190,1190,707
220,1,560,529,1200,1190,1160,463,565,1210,1200,897
221,1,590,532,1200,1180,1170,475,569,1230,1210,912
222,1,582,527,1200,1190,1150,467,543,1240,1190,909
223,1,560,528,1200,1200,1130,468,519,1250,1200,941
224,1,586,539,1210,1200,1080,477,507,1240,1180,770
225,1,577,538,1210,1200,1090,486,500,1240,1200,833
226,1,599,530,1210,1200,1080,482,493,1230,1200,932
227,1,661,528,1210,1200,1110,490,490,1210,1200,967
228,1,731,523,1210,1210,1090,498,486,1200,1190,999
229,1,785,521,1210,1210,1110,507,478,1190,1190,1110
230,1,815,514,1210,1200,1140,515,475,1190,1190,1150
231,1,783,513,1220,1200,1140,526,475,1190,1190,1170
232,1,678,512,1220,1200,1160,535,469,1190,1190,1080
233,1,656,512,1210,1210,1160,520,466,1190,1190,1050
234,1,656,512,1210,1200,1140,531,462,1190,1200,1120
235,1,691,515,1210,1200,1140,545,458,1190,1190,1080
236,1,796,509,1210,1200,1150,556,457,1190,1190,774
237,1,839,505,1210,1210,1150,567,454,1190,1200,633
238,1,743,504,1200,1200,1160,579,450,1190,1200,610
239,1,668,498,1200,1210,1170,592,448,1190,1200,652
240,1,648,495,1200,1210,1170,605,449,1190,1190,734
241,1,628,496,1200,1210,1170,617,450,1190,1190,1030
242,1,658,491,1200,1210,1170,622,461,1200,1180,1180
243,1,628,489,1200,1210,1170,675,462,1190,1200,997
244,1,608,487,1200,1200,1170,717,464,1190,1190,810
245,1,591,480,1200,1210,1190,759,459,1200,1190,885
246,1,580,478,1200,1210,1200,780,455,1190,1180,940
247,1,584,478,1200,1210,1180,803,455,1180,1190,945
248,1,596,479,1200,1200,1170,829,448,1170,1190,924
249,1,623,478,1190,1190,1170,852,443,1150,1190,915
250,1,584,476,1180,1200,1150,859,444,1140,1190,910
251,1,568,474,1180,1190,1160,869,441,1130,1180,901
252,1,559,475,1180,1190,1160,884,442,1110,1180,893
253,1,562,472,1170,1180,1180,893,439,1100,1180,886
254,1,573,474,1170,1190,1170,886,431,1090,1190,880
255,1,559,474,1170,1200,1180,840,427,1080,1180,874
256,1,545,473,1170,1190,1170,795,421,1070,1190,867
257,1,532,472,1170,1200,1170,772,422,1050,1190,862
258,1,522,472,1170,1190,1180,745,420,1050,1180,854
259,1,513,472,1170,1190,1170,743,415,1030,1170,854
260,1,513,477,1170,1190,1130,740,427,1040,1160,853
261,1,518,479,1170,1200,1130,749,435,1040,1160,850
262,1,509,482,1170,1190,1140,754,441,1030,1160,742
263,1,494,481,1170,1200,1110,751,448,1050,1170,733
264,1,489,480,1170,1200,1120,714,442,1050,1170,688
265,1,494,475,1170,1200,1150,669,438,1070,1170,643
266,1,490,474,1170,1200,1140,669,436,1070,1170,640
267,1,493,472,1170,1190,1130,678,430,1070,1180,656
268,1,513,471,1180,1190,1140,702,434,1060,1180,663
269,1,521,468,1180,1200,1150,696,435,1040,1180,656
270,1,523,468,1180,1210,1150,676,434,1040,1170,627
271,1,595,464,1180,1200,1150,684,433,1040,1190,637
272,1,621,463,1180,1200,1150,660,433,1030,1170,450
273,1,592,463,1180,1200,1150,666,427,1020,1180,447
274,1,576,458,1180,1210,1180,626,423,1020,1170,432
275,1,563,456,1180,1210,1170,636,415,1020,1170,444
276,1,562,455,1190,1200,1180,639,411,1020,1160,465
277,1,557,454,1190,1190,1150,620,415,1010,1170,501
278,1,566,456,1190,1200,1150,601,413,1010,1160,527
279,1,657,453,1190,1200,1160,610,415,1010,1180,547
280,1,754,454,1190,1210,1160,616,421,1010,1170,563
281,1,801,447,1190,1210,1150,606,425,1000,1170,578
282,1,778,444,1190,1210,1150,611,426,1010,1170,590
283,1,673,448,1190,1210,1150,601,421,1020,1170,599
284,1,625,455,1190,1210,1150,595,426,1020,1160,607
285,1,639,459,1190,1220,1170,617,420,1010,1170,615
286,1,614,460,1200,1220,1180,602,412,1020,1150,623
287,1,576,465,1190,1210,1190,590,404,1010,1170,630
288,1,587,466,1200,1210,1190,569,404,1010,1170,640
289,1,592,495,1190,1210,1190,546,402,1010,1170,650
290,1,572,511,1190,1210,1190,539,407,1010,1170,656
291,1,588,504,1190,1210,1170,528,404,1010,1170,656
292,1,589,499,1190,1210,1160,593,403,1000,1180,625
293,1,576,500,1190,1210,1160,608,400,1000,1170,613
294,1,561,488,1190,1200,1160,614,399,999,1170,601
295,1,553,487,1190,1210,1160,604,393,997,1180,605
296,1,537,489,1190,1210,1160,592,395,995,1160,611
297,1,538,485,1190,1200,1160,577,403,994,1160,618
298,1,557,489,1190,1210,1160,588,413,988,1170,461
299,1,549,508,1190,1200,1170,570,418,984,1170,367
300,1,542,567,1190,1210,1180,576,413,985,1160,474
301,2,517,614,1200,1210,1190,573,404,1200,1160,558
302,2,507,581,1200,1220,1190,563,404,1200,1150,525
303,2,496,560,1200,1210,1180,567,400,1210,1160,519
304,2,498,562,1200,1190,1190,578,395,1210,1160,510
305,2,494,564,1200,1180,1190,579,390,1200,1150,500
306,2,496,549,1200,1190,1190,570,389,1200,1170,515
307,2,495,534,1190,1190,1190,557,388,1200,1180,514
308,2,501,529,1200,1200,1200,564,389,1210,1170,540
309,2,508,531,1190,1170,1180,569,376,1200,1170,535
310,2,507,525,1200,1170,1180,579,376,1200,1170,495
311,2,508,527,1200,1180,1190,595,383,1200,1170,528
312,2,507,525,1190,1200,1180,526,383,1200,1160,565
313,2,507,523,1190,1190,1170,521,379,1200,1160,575
314,2,507,512,1190,1180,1170,524,377,1200,1140,579
315,2,503,516,1190,1200,1170,538,378,1200,1160,584
316,2,506,525,1190,1190,1190,543,383,1200,1150,589
317,2,508,518,1190,1180,1180,552,388,1200,1150,540
318,2,503,521,1190,1180,1160,544,391,1200,1160,494
319,2,506,522,1190,1180,1150,529,396,1200,1150,522
320,2,507,527,1190,1190,1130,550,402,1200,1160,609
321,2,506,547,1190,1200,1140,560,409,1200,1160,598
322,2,497,548,1190,1190,1160,540,401,1200,1140,559
323,2,500,533,1190,1190,1170,538,396,1200,1150,532
324,2,503,546,1190,1200,1180,547,397,1210,1150,516
325,2,503,545,1190,1200,1180,533,391,1210,1160,530
326,2,497,554,1190,1210,1180,510,386,1210,1170,533
327,2,496,601,1190,1210,1190,527,387,1210,1160,541
328,2,502,671,1190,1200,1200,526,391,1210,1170,532
329,2,505,734,1190,1220,1200,505,402,1210,1170,527
330,2,505,770,1190,1210,1200,498,421,1210,1180,524
331,2,499,753,1190,1220,1200,504,426,1210,1190,486
332,2,498,668,1190,1220,1180,509,428,1210,1200,462
333,2,500,638,1190,1220,1200,524,427,1210,1200,477
334,2,498,634,1190,1220,1190,527,428,1210,1190,523
335,2,504,659,1200,1220,1180,515,434,1200,1170,537
336,2,499,749,1200,1220,1190,530,442,1200,1160,546
337,2,504,803,1200,1210,1170,544,443,1200,1170,546
338,2,509,717,1190,1210,1180,552,444,1200,1180,516
339,2,514,662,1190,1200,1180,532,455,1200,1180,493
340,2,520,633,1190,1200,1190,530,479,1200,1200,481
341,2,530,615,1190,1210,1200,537,519,1200,1200,485
342,2,547,629,1190,1210,1210,546,541,1200,1220,499
343,2,591,616,1190,1210,1200,554,550,1200,1230,512
344,2,644,598,1190,1210,1180,570,565,1200,1240,529
345,2,675,584,1190,1200,1190,575,665,1200,1250,529
346,2,700,574,1190,1210,1200,550,757,1200,1240,526
347,2,721,571,1190,1200,1200,517,796,1200,1220,529
348,2,747,579,1190,1210,1180,513,800,1200,1170,530
349,2,772,596,1190,1190,1150,522,804,1200,1150,515
350,2,785,576,1190,1180,1180,532,804,1200,1120,510
351,2,801,559,1190,1160,1160,507,805,1200,1100,505
352,2,816,551,1190,1150,1170,499,803,1200,1070,495
353,2,826,548,1190,1140,1160,533,801,1200,1070,509
354,2,831,552,1190,1140,1160,551,799,1200,1040,507
355,2,793,545,1190,1130,1180,550,796,1190,1030,510
356,2,767,533,1190,1150,1170,551,793,1190,1030,509
357,2,747,523,1200,1160,1180,563,790,1190,1010,533
358,2,734,514,1190,1170,1160,567,787,1190,984,539
359,2,721,507,1190,1160,1180,562,785,1190,1010,517
360,2,721,507,1190,1160,1180,523,784,1190,1000,513
361,2,706,509,1190,1170,1190,513,783,1200,1020,515
362,2,700,503,1190,1160,1180,512,751,1190,1020,511
363,2,707,491,1190,1160,1200,512,727,1190,1020,517
364,2,693,489,1190,1170,1160,503,703,1190,1010,527
365,2,686,491,1190,1180,1190,502,663,1190,1040,541
366,2,673,488,1190,1170,1190,513,632,1190,1060,549
367,2,662,488,1190,1160,1190,520,627,1190,1060,539
368,2,657,503,1190,1170,1180,523,617,1190,1050,529
369,2,650,507,1190,1180,1190,524,598,1190,1040,541
370,2,640,509,1190,1180,1190,523,590,1190,1040,554
371,2,633,556,1190,1180,1150,515,581,1200,1040,574
372,2,631,576,1190,1190,1160,515,568,1190,1040,595
373,2,628,562,1190,1190,1170,500,557,1190,1030,579
374,2,628,554,1190,1180,1170,499,552,1190,1010,545
375,2,626,541,1190,1190,1170,515,550,1190,1000,522
376,2,624,542,1190,1200,1170,526,551,1190,995,515
377,2,619,539,1190,1190,1160,495,553,1190,993,510
378,2,614,546,1190,1190,1170,492,548,1190,989,505
379,2,610,612,1190,1200,1180,500,540,1190,991,493
380,2,614,702,1190,1190,1190,520,532,1190,990,495
381,2,606,759,1190,1180,1200,509,528,1190,973,468
382,2,602,746,1190,1190,1170,511,526,1190,991,451
383,2,608,655,1190,1190,1170,532,523,1180,1010,436
384,2,599,614,1190,1180,1180,531,516,1180,1000,419
385,2,596,612,1190,1200,1210,549,509,1180,991,423
386,2,595,599,1190,1200,1200,611,504,1180,1000,420
387,2,592,570,1190,1200,1210,645,501,1180,1010,423
388,2,600,573,1190,1190,1170,666,498,1190,1010,433
389,2,593,568,1190,1200,1190,687,496,1190,1020,448
390,2,594,563,1190,1200,1170,633,492,1190,1020,438
391,2,586,571,1190,1190,1190,581,488,1190,1010,422
392,2,582,578,1190,1190,1200,578,483,1190,1010,411
393,2,581,560,1190,1190,1190,579,478,1190,1010,481
394,2,579,550,1190,1200,1190,549,472,1190,1010,519
395,2,571,542,1190,1210,1200,546,465,1190,1010,515
396,2,569,532,1190,1190,1200,547,461,1190,1010,518
397,2,557,532,1190,1190,1200,556,460,1180,1010,499
398,2,553,541,1190,1200,1170,579,451,1180,997,482
399,2,549,534,1190,1200,1170,596,439,1180,998,460
400,2,557,529,1190,1190,1150,661,442,1180,1000,440
401,2,565,1200,1190,1190,945,717,525,1180,1160,400
402,2,567,1200,1190,1190,881,703,513,1180,1170,377
403,2,561,1200,1190,1170,748,678,506,1180,1170,376
404,2,558,1180,1200,1190,733,670,500,1180,1170,377
405,2,554,1170,1200,1190,740,648,492,1180,1160,377
406,2,554,1170,1200,1190,708,652,493,1180,1160,386
407,2,554,1170,1200,1190,702,671,485,1180,1170,459
408,2,554,1180,1200,1190,724,664,481,1190,1180,523
409,2,555,1180,1200,1200,734,652,475,1180,1170,503
410,2,553,1180,1200,1200,734,652,475,1180,1160,476
411,2,557,1180,1200,1190,733,655,476,1180,1170,484
412,2,551,1180,1190,1190,738,659,470,1190,1180,500
413,2,549,1180,1190,1200,743,650,468,1190,1190,556
414,2,547,1170,1190,1190,749,638,468,1200,1190,537
415,2,547,1190,1200,1190,761,659,463,1180,1170,513
416,2,543,1180,1200,1190,741,675,467,1180,1160,463
417,2,544,1180,1200,1190,673,665,479,1180,1160,443
418,2,537,1180,1200,1200,589,630,482,1180,1130,427
419,2,534,1190,1200,1180,589,570,488,1180,1150,415
420,2,533,1190,1190,1180,618,560,545,1180,1180,423
421,2,537,1190,1200,1190,646,593,558,1190,1200,482
422,2,532,1190,1200,1180,651,620,535,1200,1140,525
423,2,534,1190,1200,1180,653,600,513,1210,1150,533
424,2,547,1200,1200,1180,665,629,502,1200,1160,531
425,2,544,1200,1200,1180,668,631,493,1190,1180,534
426,2,535,1200,1200,1180,675,634,488,1190,1170,557
427,2,534,1200,1200,1180,687,680,485,1190,1180,572
428,2,529,1200,1200,1180,700,724,482,1190,1160,591
429,2,527,1200,1200,1180,716,798,474,1190,1180,640
430,2,520,1200,1200,1190,735,869,472,1190,1170,807
431,2,519,1200,1200,1190,751,829,470,1200,1190,791
432,2,518,1200,1200,1200,771,716,464,1210,1190,689
433,2,519,1200,1200,1190,788,692,460,1210,1190,627
434,2,520,1200,1200,1180,796,651,458,1200,1190,646
435,2,522,1200,1200,1180,803,701,454,1180,1190,644
436,2,514,1200,1200,1180,819,830,453,1200,1180,563
437,2,511,1200,1200,1180,839,891,451,1190,1200,498
438,2,509,1190,1200,1180,853,745,447,1190,1200,495
439,2,502,1190,1200,1190,884,699,443,1200,1190,522
440,2,499,1190,1200,1190,926,676,444,1200,1190,565
441,2,501,1190,1210,1200,945,674,445,1210,1160,631
442,2,495,1190,1210,1200,970,698,454,1210,1140,792
443,2,493,1190,1210,1190,948,670,455,1210,1160,721
444,2,493,1190,1200,1190,963,650,457,1210,1160,694
445,2,483,1190,1200,1200,1000,653,453,1220,1150,786
446,2,482,1190,1200,1200,1010,662,449,1210,1140,873
447,2,481,1190,1210,1190,1000,672,447,1200,1160,905
448,2,484,1190,1210,1180,1020,646,442,1180,1150,894
449,2,485,1190,1200,1190,979,625,438,1160,1170,888
450,2,483,1180,1200,1180,987,591,439,1150,1170,883
451,2,479,1180,1200,1180,967,583,435,1130,1160,877
452,2,480,1180,1210,1170,975,597,435,1110,1160,872
453,2,476,1180,1190,1180,970,594,431,1090,1160,866
454,2,479,1180,1190,1190,973,609,426,1080,1160,861
455,2,479,1170,1200,1190,959,558,422,1070,1160,855
456,2,478,1170,1200,1200,974,534,417,1060,1170,850
457,2,475,1170,1200,1190,965,535,417,1050,1180,845
458,2,476,1170,1200,1200,959,536,416,1030,1170,840
459,2,477,1170,1200,1200,944,546,412,1010,1140,836
460,2,484,1170,1200,1180,984,569,421,1030,1110,835
461,2,488,1170,1200,1180,963,564,428,1020,1100,834
462,2,491,1170,1200,1180,967,563,433,1020,1090,757
463,2,491,1170,1200,1180,965,588,438,1050,1130,735
464,2,488,1170,1200,1160,1000,590,434,1050,1130,689
465,2,483,1170,1200,1180,955,608,430,1070,1140,642
466,2,483,1170,1200,1180,974,592,428,1070,1160,627
467,2,480,1170,1200,1180,975,546,422,1070,1150,630
468,2,479,1170,1200,1170,986,612,427,1060,1160,622
469,2,477,1170,1200,1180,996,638,428,1050,1140,611
470,2,476,1170,1200,1180,989,645,426,1050,1140,595
471,2,471,1170,1200,1180,993,623,424,1040,1160,588
472,2,470,1180,1200,1180,1030,640,424,1040,1150,541
473,2,469,1180,1200,1180,1050,643,419,1030,1150,516
474,2,464,1170,1200,1180,917,635,416,1030,1160,509
475,2,464,1180,1200,1190,878,605,410,1020,1150,502
476,2,463,1180,1200,1190,855,592,406,1020,1160,511
477,2,462,1180,1200,1180,843,578,410,1020,1160,524
478,2,464,1180,1200,1170,799,570,409,1020,1150,528
