sample,X1,X2,X3,X4,X5,X6,X7,X8,X9,X10,X11,X12,X13,X14,X15,X16,X17,X18,X19,X20,Y
76,1123.94,1167.5,1155.44,1144,1126,1065,1000,882,706,482,1166.56,1162.31,1157.63,1146.38,1129.19,1108.75,1035.56,973.47,756.78,480.69,20.4
77,1123.56,1156.38,1145.44,1128,1109,1046,971,833,677,451,1165.19,1155.56,1145.06,1128,1114,1096.06,1008.28,938.88,721.28,480.3,20.26
78,1132.56,1151.94,1156.19,1140,1112,1042,959,828,676,454,1164.38,1152.25,1148.63,1144.75,1129.44,1109.38,1006.19,926.88,711.78,483.3,20.01
79,1130.44,1150.94,1154.56,1139,1117,1042,957,821,674,477,1159.75,1151.69,1153.69,1139.44,1118.56,1093.19,975.28,896.59,690.09,484.69,20.06
80,1134.69,1158.19,1158,1141,1119,1044,959,819,670,485,1163.13,1152.56,1153.88,1141.69,1119.06,1094.25,972.59,890.28,681.47,485.8,20.06
81,1113.75,1157.56,1149.44,1133,1111,1036,954,815,668,484,1157.81,1157.25,1148.63,1134.69,1113.44,1084.88,973.47,895.09,688.47,485.69,20.05
82,1136,1153.94,1157.25,1142,1118,1049,961,823,672,486,1155.38,1150.69,1157.94,1148.19,1128.69,1100.44,989,907.19,687,485.3,20.11
83,1119.38,1178.94,1162.69,1150,1128,1056,974,831,670,445,1153.06,1153.75,1142.88,1132.56,1112,1083.25,963.69,884.47,677.78,479.09,20.14
84,1130.19,1158.44,1156.75,1140,1120,1050,972,841,687,473,1168.88,1156.75,1154.44,1143.06,1124,1099.56,988.59,908.47,691,482.59,20.15
85,1123.56,1166.94,1153.44,1144,1127,1062,986,845,682,484,1163.44,1159.31,1151.88,1145,1126.56,1102.19,994.69,915.38,695.19,484.3,20.27
86,1119.63,1165.5,1150.56,1132,1111,1044,976,845,687,491,1159.44,1157.06,1149.44,1142.56,1122.19,1097.88,993.28,918.78,699.78,487.59,20.31
87,1134.38,1155.44,1155.44,1142,1123,1059,989,853,688,494,1162.19,1150.19,1150.69,1140.44,1124.56,1104.25,1014,938.47,709.69,489.3,20.52
88,1123.69,1164.69,1155.38,1141,1121,1059,985,841,676,457,1158.31,1157.13,1147.5,1138.69,1124.56,1100.19,1015,941,714.78,485.69,20.42
89,1126.19,1151.13,1149.88,1130,1108,1047,980,850,683,466,1161.19,1150.31,1150.75,1136.56,1121.75,1100.88,1019.09,947.09,720.69,488.8,20.5
90,1128.5,1155.44,1147.31,1133,1117,1061,996,874,700,488,1154.88,1150.19,1150.38,1148.06,1135.44,1117.44,1037.75,969.59,733.28,492.39,20.43
91,1118.5,1158.5,1150.75,1140,1123,1065,1005,882,703,494,1164,1163.75,1144.94,1140.44,1129,1116.88,1041.56,976.38,742.47,492.89,20.49
92,1133.88,1156.75,1156.88,1143,1125,1065,1008,894,714,493,1158.44,1146.06,1144.25,1142.88,1129.06,1113.75,1040,979.59,748.88,491.39,20.6
93,1120.13,1171.19,1153.56,1145,1130,1074,1014,897,715,492,1163.38,1164.19,1161.81,1151.88,1138,1121.38,1050,989.28,760.88,490.39,20.58
94,1123.44,1163.25,1151.69,1138,1125,1070,1011,885,700,437,1165.25,1160.94,1150.38,1141.75,1128,1114.25,1046.06,988.09,761.78,484.89,20.63
95,1121.13,1172.56,1152.13,1132,1111,1052,997,884,704,470,1159.44,1158.19,1150.06,1145.56,1129.25,1110.75,1044.88,989.69,773.09,487.59,20.64
96,1124.63,1164.69,1151.5,1139,1121,1067,1011,898,710,481,1164,1160.94,1151.56,1143,1127.44,1108.19,1044.19,989.19,778.59,487.39,20.7
97,1110.69,1160.19,1150.25,1138,1116,1064,1010,904,714,482,1161,1158.63,1151.06,1146.44,1135.06,1121,1068.56,1014.88,785.47,485.8,20.89
98,1125.19,1166.25,1151.94,1143,1128,1075,1024,921,722,480,1167.69,1159.94,1156.94,1148.38,1134.69,1119.88,1068.06,1019.28,794.47,483.09,20.78
99,1119.69,1167.69,1157.81,1146,1126,1070,1017,911,716,436,1163.5,1147.13,1150.94,1152.25,1142.19,1125.75,1069.56,1020.28,800.28,475.59,20.79
100,1124.13,1171.94,1144.94,1127,1113,1059,1011,906,701,441,1164.56,1163.38,1151.06,1139.06,1121.56,1106.44,1054,1009.19,795.09,474.8,20.84
101,1125.38,1157.44,1150.75,1139,1122,1067,1019,922,722,465,1159.63,1157.13,1152.13,1143.06,1127.25,1109.38,1053.44,1007.88,796.38,475.89,20.81
102,1119.56,1164.63,1151.13,1143,1126,1072,1026,933,735,471,1163,1159.31,1150.75,1145.06,1132.56,1116.19,1061.44,1017.69,808.19,474.3,20.96
103,1129.38,1150.94,1152.88,1144,1129,1072,1010,897,718,473,1158.31,1153.44,1155.94,1153.38,1141.19,1120.56,1043.69,983.88,770.78,473.09,20.5
104,1120.88,1168.19,1154.75,1138,1118,1060,987,857,695,477,1153.38,1152.88,1147.56,1142.19,1125.38,1101.69,1008.88,935.47,721.59,475.8,20.16
105,1117.81,1155.19,1147.13,1133,1111,1043,957,811,670,438,1155.06,1151.94,1148.81,1141.38,1120.25,1095.69,986.69,908.69,698.28,471.39,20.08
106,1125.31,1165.44,1158.81,1147,1128,1058,967,815,670,463,1154.88,1150.38,1148.44,1147.25,1131.88,1104,990,905.78,688.38,473.59,20.11
107,1121.06,1170.44,1156.38,1140,1118,1049,964,818,670,473,1160.25,1157.13,1146.44,1139.88,1122,1101.19,994.69,914.59,694.28,473.3,20.01
108,1120,1166.13,1158.88,1143,1116,1048,965,829,676,474,1160,1163.44,1157,1146.88,1126,1101.69,1003.59,929.47,707.09,472.8,20.11
109,1123.69,1171.63,1155.44,1141,1121,1056,972,819,668,473,1162.5,1161.31,1153.06,1148.56,1132.19,1105,1000.59,922.09,705.69,474.19,20.17
110,1130.19,1151.31,1145.94,1131,1112,1045,960,809,641,439,1162.88,1157.44,1156.25,1139.56,1122.19,1100,1005.88,927.19,703.78,470.89,20.34
111,1118.63,1150.75,1139.13,1121,1099,1034,959,832,658,439,1156.13,1153.75,1147,1137.19,1115.69,1089.56,991,916.88,698.28,469.69,20.14
112,1119.94,1148.44,1145.56,1128,1105,1039,966,840,677,454,1150.75,1145.94,1148.81,1138,1120.88,1095.38,1000.38,922.47,700.47,472.3,20.29
113,1128.38,1160.19,1157.63,1149,1128,1066,995,867,692,461,1158.06,1153,1150.5,1137.56,1121.56,1096.19,1004.78,928.78,704.28,471.69,20.37
114,1135.13,1152.56,1150.38,1135,1117,1053,986,862,698,462,1157.94,1152.06,1143.25,1137.38,1119.38,1094.25,1007.28,938.69,713,471.39,20.32
115,1121.94,1164.63,1154.06,1145,1128,1065,1001,878,707,460,1167.75,1157.38,1151.38,1147,1132.56,1111.44,1023,954.09,723.19,470.59,20.58
116,1125.31,1165.5,1154.44,1141,1121,1056,987,855,690,423,1164.06,1158.31,1153.56,1143.75,1127.38,1105.44,1021.19,951.47,721.19,466.69,20.49
117,1117.81,1161.25,1150.25,1136,1113,1053,988,870,703,448,1158.63,1157.75,1145.75,1141.06,1128.75,1111,1035.38,966.09,731.28,470.59,20.52
118,1127.25,1150.56,1151.69,1138,1122,1064,1006,888,710,457,1158.81,1149.69,1147.25,1133.19,1115.56,1099.44,1028,969.59,740.59,472.09,20.29
119,1121.69,1168.81,1153.5,1145,1129,1069,1012,904,725,458,1163.31,1161.94,1152.44,1146.25,1130,1113,1046,990.78,764.38,472.09,20.54
120,1134,1154.25,1155.38,1144,1126,1067,1011,906,728,458,1161,1152.69,1155.44,1144.19,1131.25,1112.56,1050.88,996.38,779.09,473,20.59
121,1120.63,1166.63,1152.13,1141,1125,1069,1018,904,725,428,1166.13,1163.75,1156.63,1153.06,1141.19,1126.25,1062.88,1007.78,784.78,469.59,20.7
122,1125.19,1161.75,1151.94,1138,1120,1062,1002,889,711,435,1162.88,1150.75,1144.56,1142.19,1132.38,1117.38,1054.56,1000,773.47,468.19,20.73
123,1118.44,1165.38,1153.44,1145,1131,1075,1022,917,725,449,1150.75,1156.06,1152.06,1148,1138.75,1126.19,1068.56,1014,783.78,469.19,20.75
124,1123.25,1151.44,1148.44,1133,1115,1064,1017,923,736,455,1160.25,1160.25,1155.94,1153.25,1140.56,1126.56,1064.25,1013.28,789.28,470.59,20.61
125,1119,1163.81,1144.63,1131,1116,1063,1022,928,739,455,1162.75,1157.13,1147,1144.06,1127,1110.75,1048.56,1001.47,789.47,470.19,20.78
126,1129.38,1145.75,1151.31,1138,1121,1070,1027,940,757,454,1151,1144.44,1141.56,1138.44,1126.88,1118.69,1068,1024,797.09,467.59,20.87
127,1127.75,1176.19,1161.56,1152,1139,1087,1037,932,731,425,1169.81,1163.88,1156.94,1146,1133.06,1120.56,1068.19,1022.88,806.38,461.59,20.78
128,1136.75,1165.13,1154.56,1144,1130,1076,1031,939,739,442,1166.56,1155.94,1156.94,1150.69,1139.56,1125.25,1073.56,1028,813.59,462.69,21.06
129,1131.13,1165.13,1156.13,1142,1127,1075,1036,947,745,448,1161.56,1163.44,1154.56,1152.06,1141.56,1125.88,1070.44,1026.19,819.38,463.69,20.99
130,1122.94,1153.94,1146.38,1132,1116,1066,1018,916,736,449,1153.63,1149.88,1146.94,1135.75,1120.56,1101.88,1042.69,996.28,795.47,464.09,20.6
131,1131.69,1148.69,1154.69,1146,1130,1067,999,864,701,452,1152,1147.56,1150.63,1143,1127.06,1104.25,1019,954,747.88,465.48,20.26
132,1121.13,1174.94,1157.06,1142,1122,1052,970,821,675,417,1157.88,1150.5,1145.38,1132.44,1114.75,1090.44,990.69,914.59,713.38,463.09,20.08
133,1132.44,1152.94,1158.81,1147,1121,1048,961,813,670,429,1161.13,1150.63,1144.44,1129.88,1112.88,1087.69,984.88,906.38,701.38,465.19,20.14
134,1143.19,1145.06,1154.31,1139,1120,1053,972,826,675,450,1159.75,1149.63,1151,1139,1122.25,1099.19,995.09,915.47,703,469.09,20.16
135,1111.94,1174.88,1153.5,1143,1123,1053,975,831,682,456,1161.94,1159.31,1152.44,1138,1120.38,1102,1008.69,933.59,712.38,474.69,20.06
136,1112.38,1165.5,1154.69,1146,1127,1064,983,839,684,456,1160,1161.81,1151.69,1141.25,1122.19,1093.75,997.47,920.69,711.69,477.59,20.27
137,1131.94,1153.31,1151.31,1133,1110,1043,972,840,687,455,1145.44,1147.5,1148.31,1138.75,1118.69,1097.75,1002.28,927.78,714.78,478.19,20.18
138,1128.19,1168.75,1153.81,1138,1117,1050,967,826,679,419,1161.69,1150.69,1144.63,1132.44,1112.44,1091.38,997.69,925.88,713.47,473.69,20.24
139,1124.31,1174.13,1158.94,1143,1118,1049,974,839,685,442,1164.56,1163.38,1156.13,1146,1129.56,1102.25,1009.88,939.09,724,476.69,20.34
140,1131.19,1157.63,1158,1143,1124,1059,988,857,690,449,1165.56,1156.75,1159.19,1151.06,1138.44,1121.06,1038.88,967.09,736.88,479.8,20.52
141,1127.88,1158.69,1156,1144,1125,1066,999,878,702,451,1163.31,1153.94,1150.38,1143,1127.25,1111.44,1034.56,968.88,744,479.89,20.41
142,1129.38,1163.69,1158.13,1142,1122,1066,1005,890,711,450,1155.38,1157.44,1158.19,1153.44,1137.44,1115.88,1036.56,972.19,747.19,478.48,20.47
143,1130.25,1158.19,1154.25,1145,1131,1074,1017,894,707,411,1159.75,1156.94,1155.38,1142.44,1125.75,1105.75,1032.69,970.88,749.28,473.8,20.43
144,1133.63,1161.06,1159.44,1150,1136,1078,1020,901,708,421,1158.31,1150.75,1148.69,1141.06,1126.56,1105.38,1034.06,973,755.38,474.09,20.52
145,1123.94,1170.38,1156.38,1144,1130,1075,1024,916,721,437,1156.63,1153.19,1144.44,1141.88,1129.75,1113.19,1042.19,985.78,765.59,473.09,20.77
146,1129.38,1154.94,1153.5,1144,1130,1077,1027,928,738,443,1161.5,1154.56,1159.06,1153,1142.06,1128.44,1061.56,1003.28,776.28,472.09,20.56
147,1130.25,1158.81,1156.13,1149,1138,1086,1036,938,746,445,1157.75,1151.88,1142.25,1132.44,1118.19,1100.69,1041.25,987.78,778.59,471.89,20.54
148,1121.81,1163.69,1155.19,1148,1134,1081,1033,940,752,446,1152.69,1151.06,1143.88,1141,1131.56,1116,1053.69,1001,785.28,471.09,20.69
149,1128.5,1159.38,1157.44,1147,1133,1076,1024,923,730,406,1166.56,1155.94,1157.06,1147,1134.38,1117,1058.75,1006.19,792.09,468.19,20.69
150,1126.31,1160.63,1154.88,1144,1128,1076,1030,935,740,432,1162.31,1156.06,1157.13,1149.88,1138,1123.19,1066.44,1021.69,810.19,472.09,20.77
151,1127.38,1164.38,1153.5,1145,1133,1085,1040,950,754,445,1162.69,1153.75,1153.25,1148.25,1137.56,1122.75,1071,1025,810.28,473.59,20.85
152,1121.69,1159.25,1152,1145,1134,1085,1040,951,758,447,1163.81,1155.75,1144.06,1133.56,1122.44,1106.44,1056.44,1012.88,814.78,472.69,21.01
153,1126,1158.81,1154.13,1144,1126,1076,1032,953,771,452,1157.25,1151.13,1145.5,1144.56,1136.56,1126.06,1075.19,1028.69,819.47,474.48,20.81
154,1127.25,1159.25,1148.38,1132,1117,1067,1027,943,763,425,1161.19,1150.75,1151.25,1144,1131.06,1116.56,1066.38,1028.19,821.78,472.48,21.04
155,1127.56,1157.19,1149.44,1142,1133,1082,1047,964,766,436,1160,1150.63,1152.19,1143.88,1129.75,1114.69,1064.56,1028.38,822.69,475.39,20.95
156,1125.31,1165.5,1156.38,1151,1141,1091,1050,971,786,453,1163.31,1159.88,1147.5,1145.19,1132.69,1119.25,1078.38,1043.56,835.09,476.89,21.02
157,1125.19,1165.38,1155.19,1151,1140,1092,1052,980,805,460,1165.75,1164.5,1157.81,1153.06,1142.06,1131.19,1086.75,1046.75,839.38,478,21.02
158,1127.25,1161.69,1153.25,1138,1127,1081,1053,986,803,463,1162.25,1150.06,1153.25,1147.56,1138.44,1128.69,1084.75,1048,838.28,479.59,20.94
159,1123.25,1152.13,1150.44,1146,1135,1089,1045,962,792,466,1150.75,1149.06,1145.06,1139.19,1125.44,1107.75,1053.75,1008.19,805.59,482.59,20.67
160,1124.5,1166.06,1155.38,1147,1134,1076,1020,908,731,434,1164.94,1162.69,1156.63,1152.69,1139.56,1121.56,1045.44,985.88,765.88,476.39,20.55
161,1123.94,1156.56,1150.75,1130,1112,1055,999,885,723,461,1161.13,1151.81,1151.81,1139.38,1127.06,1108.56,1034.38,966.88,739.78,479.19,20.44
162,1121.25,1158,1150.94,1138,1119,1057,988,864,709,470,1165.88,1159.63,1154.63,1140.19,1125.38,1105.19,1025.44,954.38,733.69,482.19,20.29
163,1127.31,1161.88,1158.69,1146,1130,1067,997,872,711,473,1157.06,1149.63,1152.44,1141.44,1124.38,1104.75,1008.59,932.88,715,481.19,20.17
164,1126.81,1164.31,1159.94,1149,1132,1065,988,856,704,473,1157.13,1155.06,1150.69,1139.06,1119.38,1094.88,988.59,911.88,691.28,478.09,20.16
165,1124.5,1157.63,1150.25,1131,1107,1036,951,813,680,433,1159.19,1144.25,1140.88,1127.44,1111.56,1087.56,987.59,909.78,689.88,476,20.09
166,1125.69,1159.44,1152,1134,1114,1041,958,817,682,445,1157.13,1150.63,1153.56,1146.06,1126.69,1104.38,1006.69,931.38,702.09,478.3,19.89
